Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene (OncoKB)	Is Tumor Suppressor Gene (OncoKB)	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	OG score	TSG score	Is Oncogene (TCGA)	Is Tumor Suppressor Gene (TCGA)	Is Driver Gene (TCGA)	Is Oncogene (CGC)	Is Tumor Suppressor Gene (CGC)	Is Driver Gene (CGC)
STAT5A	6776.0	4.0	Yes	Yes	No	Yes	Yes	No	Yes	No	No								
STAT5B	6777.0	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes						No	No	Yes
RRAGC	64121.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
STAT6	6778.0	4.0	Yes	Yes	No	No	Yes	No	Yes	No	Yes								
CXORF67	340602.0	2.0	Yes	Yes	No	Yes	No	No	No	No	No								
PRDM1	639.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes						No	No	Yes
BLM	641.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes								
AURKA	6790.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
NUTM1	256646.0	3.0	Yes	No	No	No	No	Yes	No	No	Yes								
STK11	6794.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	3.0	No	Yes	Yes	No	No	Yes
MALT1	10892.0	5.0	Yes	No	No	Yes	Yes	No	Yes	No	Yes								
BMPR1A	657.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes								
NF1	4763.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	9.0	No	Yes	Yes	No	No	Yes
STK19	8859.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
FOXL2	668.0	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes						No	No	Yes
BRCA1	672.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	2.5	No	Yes	Yes	No	No	Yes
BRAF	673.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	6.5	0.0	Yes	No	Yes	No	No	Yes
BRCA2	675.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.5	No	No	Yes	No	No	Yes
NF2	4771.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	3.0	No	Yes	Yes	No	No	Yes
ZFP36L1	677.0	1.0	Yes	No	Yes	No	No	No	No	No	No	0.0	0.5	No	No	Yes			
NFE2	4778.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
NFE2L2	4780.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	8.0	0.0	Yes	No	Yes	No	No	Yes
GLI1	2735.0	4.0	Yes	Yes	No	Yes	Yes	No	Yes	No	No						No	No	Yes
KLF5	688.0	2.0	Yes	Yes	No	Yes	No	No	No	No	No	2.5	0.0	Yes	No	Yes			
FUBP1	8880.0	6.0	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	0.0	1.5	No	Yes	Yes	No	No	Yes
BTG1	694.0	5.0	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes								
BTK	695.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
NFKBIA	4792.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No								
SYK	6850.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
PNRC1	10957.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
GNA11	2767.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	3.0	0.0	Yes	No	Yes	No	No	Yes
GNA12	2768.0	3.0	Yes	Yes	No	No	Yes	No	Yes	No	No								
BCL10	8915.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes								
MEF2B	100271849.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
NKX3-1	4824.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
GNAQ	2776.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	2.0	0.0	Yes	No	Yes	No	No	Yes
GNAS	2778.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	3.0	0.0	Yes	No	Yes	No	No	Yes
GNB1	2782.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
PHOX2B	8929.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes						No	No	Yes
MGA	23269.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No	0.0	2.0	No	Yes	Yes			
TAL1	6886.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
TAP1	6890.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
TAP2	6891.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
NOTCH1	4851.0	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	5.0	No	Yes	Yes	No	No	Yes
NOTCH2	4853.0	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
NOTCH3	4854.0	4.0	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No								
NOTCH4	4855.0	3.0	Yes	Yes	Yes	Yes	Yes	No	No	No	No								
NPM1	4869.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
HIST1H3F	8968.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
TCEB1	6921.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No	0.0	0.5	No	No	Yes			
HIST1H2AG	8969.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
HIST1H2BJ	8970.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
ICOSLG	23308.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
MGAM	8972.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
RAB35	11021.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
TBX3	6926.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
HNF1A	6927.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes						No	No	Yes
TCF3	6929.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes								
TCF7L2	6934.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	0.0	1.0	No	Yes	Yes			
RPS6KA4	8986.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
ARHGEF28	64283.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
NRAS	4893.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	9.5	0.5	Yes	No	Yes	No	No	Yes
CALR	811.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
TRA	6955.0	2.0	Yes	Yes	No	No	No	No	No	No	Yes								
TRB	6957.0	2.0	Yes	Yes	No	No	No	No	No	No	Yes								
NTHL1	4913.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
KMT5A	387893.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
NTRK1	4914.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
NTRK2	4915.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
NTRK3	4916.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
TRD	6964.0	2.0	Yes	Yes	No	No	No	No	No	No	Yes								
TRG	6965.0	2.0	Yes	Yes	No	No	No	No	Yes	No	No								
DDR2	4921.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
GPS2	2874.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No	0.0	1.5	No	Yes	Yes			
KSR2	283455.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
MAP3K14	9020.0	4.0	Yes	Yes	No	Yes	Yes	No	Yes	No	No								
SOCS3	9021.0	2.0	Yes	No	Yes	No	No	No	Yes	No	No								
NUP98	4928.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
MPEG1	219972.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
SOX17	64321.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No	1.0	0.0	Yes	No	Yes			
NSD1	64324.0	5.0	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	0.0	3.0	No	Yes	Yes			
RFWD2	64326.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
CASP8	841.0	6.0	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	0.0	4.0	No	Yes	Yes	No	No	Yes
SETD4	54093.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
GRIN2A	2903.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes						No	No	Yes
NCSTN	23385.0	3.0	Yes	Yes	No	No	Yes	No	Yes	No	No								
ARHGAP35	2909.0	2.0	Yes	Yes	Yes	Yes	No	No	No	No	No	0.0	3.0	No	Yes	Yes			
RUNX1	861.0	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	0.0	3.0	No	Yes	Yes			
RUNX1T1	862.0	4.0	Yes	Yes	No	No	Yes	No	Yes	No	Yes								
CBFB	865.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	1.0	No	Yes	Yes			
TEK	7010.0	4.0	Yes	No	No	Yes	Yes	Yes	No	No	No								
CBL	867.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes						No	No	Yes
TERT	7015.0	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes						No	No	Yes
DICER1	23405.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	0.5	0.0	No	No	Yes	No	No	Yes
PTPRT	11122.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes						No	No	Yes
GSK3B	2932.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
TFE3	7030.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
CCND2	894.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
CCND3	896.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
CCNE1	898.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
RYBP	23429.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
TGFBR1	7046.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
TGFBR2	7048.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	3.0	No	Yes	Yes	No	No	Yes
MSH6	2956.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
USP8	9101.0	3.0	Yes	Yes	No	Yes	No	No	No	No	Yes						No	No	Yes
DCUN1D1	54165.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
GTF2I	2969.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No	2.0	0.0	Yes	No	Yes			
LATS1	9113.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
SF3B1	23451.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	5.0	0.0	Yes	No	Yes	No	No	Yes
SMC3	9126.0	3.0	Yes	No	Yes	No	Yes	No	Yes	No	No	0.5	0.0	No	No	Yes			
NKX2-1	7080.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
CD28	940.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No						No	No	Yes
TLE1	7088.0	1.0	Yes	No	No	No	No	No	No	No	No								
TLE2	7089.0	1.0	Yes	No	No	No	No	No	No	No	No								
TLE3	7090.0	1.0	Yes	No	No	No	No	No	No	No	No								
TLE4	7091.0	1.0	Yes	No	No	No	No	No	No	No	No								
BRD4	23476.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
FURIN	5045.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
WIF1	11197.0	2.0	Yes	No	Yes	No	No	No	No	No	Yes								
ERRFI1	54206.0	4.0	Yes	No	Yes	Yes	Yes	Yes	No	No	No								
HIST1H1C	3006.0	4.0	Yes	No	No	Yes	Yes	No	Yes	No	No	0.0	0.0	No	No	Yes			
HIST1H1D	3007.0	3.0	Yes	No	Yes	No	Yes	No	Yes	No	No								
CHEK2	11200.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	0.5	No	No	Yes			
HIST1H1E	3008.0	3.0	Yes	Yes	No	No	Yes	No	Yes	No	No	0.5	0.5	No	No	Yes			
HIST1H1B	3009.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
PAK1	5058.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
CD58	965.0	3.0	Yes	No	Yes	No	Yes	No	Yes	No	No								
TMPRSS2	7113.0	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes								
HIST1H2BD	3017.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
H3F3A	3020.0	6.0	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	0.5	0.0	No	No	Yes	No	No	Yes
CD79A	973.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
H3F3B	3021.0	4.0	Yes	No	No	Yes	Yes	No	No	No	Yes						No	No	Yes
CD79B	974.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
PARK2	5071.0	4.0	Yes	No	Yes	Yes	Yes	Yes	No	No	No								
SETD7	80854.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
MAP3K13	9175.0	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes						No	No	Yes
PAX5	5079.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
SUZ12	23512.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes								
TNFAIP3	7128.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
AJUBA	84962.0	1.0	Yes	No	Yes	No	No	No	No	No	No	0.0	2.0	No	Yes	Yes			
PCBP1	5093.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No	2.0	0.0	Yes	No	Yes	No	No	Yes
CDC42	998.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
CDH1	999.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	2.0	No	Yes	Yes	No	No	Yes
TOP1	7150.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes								
TP53	7157.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.5	20.5	No	Yes	Yes	No	No	Yes
TP53BP1	7158.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
HDAC1	3065.0	4.0	Yes	Yes	No	No	Yes	Yes	Yes	No	No								
CDK4	1019.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	2.0	0.0	Yes	No	Yes			
AURKB	9212.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
CDK6	1021.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
SP140	11262.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
CDK8	1024.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
CDKN1A	1026.0	4.0	Yes	No	Yes	Yes	Yes	Yes	No	No	No	0.5	2.0	No	Yes	Yes	No	No	Yes
CDKN1B	1027.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
CDKN2A	1029.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	8.0	No	Yes	Yes	No	No	Yes
CDKN2B	1030.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No								
CDKN2C	1031.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	0.5	No	No	Yes			
HGF	3082.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	0.0	0.0	No	No	Yes			
NRG1	3084.0	2.0	Yes	Yes	No	No	No	No	No	No	Yes								
ASXL1	171023.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.5	No	Yes	Yes	No	No	Yes
PDCD1	5133.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
TRAF2	7186.0	4.0	Yes	No	No	Yes	Yes	No	Yes	No	No								
HIF1A	3091.0	3.0	Yes	Yes	No	No	Yes	No	No	No	Yes						No	No	Yes
TRAF3	7187.0	3.0	Yes	No	Yes	No	Yes	No	Yes	No	No	0.0	1.0	No	Yes	Yes			
TRAF5	7188.0	3.0	Yes	No	Yes	No	Yes	No	Yes	No	No								
CEBPA	1050.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.5	0.0	No	No	Yes	No	No	Yes
HLA-A	3105.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	0.0	2.0	No	Yes	Yes			
CENPA	1058.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HLA-B	3106.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No	0.0	4.0	No	Yes	Yes			
PDGFB	5155.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
HLA-C	3107.0	2.0	Yes	No	Yes	Yes	No	No	No	No	No								
PDGFRA	5156.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	0.5	0.0	No	No	Yes	No	No	Yes
PDGFRB	5159.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
PDPK1	5170.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
BACH2	60468.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
U2AF2	11338.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
TSC1	7248.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	2.0	No	Yes	Yes	No	No	Yes
TSC2	7249.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
TSHR	7253.0	6.0	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes						No	No	Yes
CHEK1	1111.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No								
FOXA1	3169.0	4.0	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	2.0	0.5	Yes	No	Yes	No	No	Yes
KLF4	9314.0	5.0	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes						No	No	Yes
TRIP13	9319.0	2.0	Yes	Yes	Yes	Yes	No	No	No	No	No								
PGR	5241.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No	0.0	0.5	No	No	Yes			
TLX1	3195.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
TYK2	7297.0	3.0	Yes	Yes	No	No	Yes	No	Yes	No	No								
U2AF1	7307.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	5.0	0.0	Yes	No	Yes	No	No	Yes
KMT2C	58508.0	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	0.0	5.0	No	Yes	Yes	No	No	Yes
PIGA	5277.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
PIK3C2G	5288.0	4.0	Yes	No	No	Yes	Yes	Yes	No	No	No								
PIK3C3	5289.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
PIK3CA	5290.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	18.5	0.0	Yes	No	Yes	No	No	Yes
NEGR1	257194.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
PIK3CB	5291.0	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	0.0	0.0	No	No	Yes	No	No	Yes
PIM1	5292.0	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
PIK3CD	5293.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
PIK3CG	5294.0	4.0	Yes	Yes	No	Yes	Yes	No	Yes	No	No	0.5	0.0	No	No	Yes			
PIK3R1	5295.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	3.0	No	Yes	Yes	No	No	Yes
PIK3R2	5296.0	4.0	Yes	No	Yes	Yes	Yes	No	Yes	No	No	2.0	0.0	Yes	No	Yes			
RECQL4	9401.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes								
ETAA1	54465.0	2.0	Yes	No	Yes	Yes	No	No	No	No	No								
HRAS	3265.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	9.0	0.0	Yes	No	Yes	No	No	Yes
PLCG1	5335.0	3.0	Yes	Yes	No	No	Yes	No	No	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
PLCG2	5336.0	4.0	Yes	Yes	No	Yes	Yes	No	Yes	No	No								
KDM6A	7403.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	6.5	No	Yes	Yes	No	No	Yes
VAV1	7409.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
SMYD3	64754.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
VAV2	7410.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
HIST1H2BK	85236.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
PMAIP1	5366.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
VEGFA	7422.0	4.0	Yes	Yes	No	Yes	Yes	Yes	No	No	No								
PMS1	5378.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No	0.5	0.0	No	No	Yes			
VHL	7428.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	2.0	No	Yes	Yes	No	No	Yes
MAPKAP1	79109.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
DNAJB1	3337.0	4.0	Yes	No	No	Yes	Yes	No	No	No	Yes								
RBM15	64783.0	3.0	Yes	Yes	Yes	No	No	No	Yes	No	Yes								
PMS2	5395.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	0.5	No	No	Yes			
WHSC1	7468.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes			
POLD1	5424.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes						No	No	Yes
POLE	5426.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	0.0	No	No	Yes	No	No	Yes
POT1	25913.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes						No	No	Yes
TLX3	30012.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
IRF8	3394.0	3.0	Yes	No	Yes	No	Yes	No	Yes	No	No								
WT1	7490.0	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.5	0.5	No	No	Yes	No	No	Yes
XBP1	7494.0	3.0	Yes	Yes	No	No	Yes	No	Yes	No	No								
ID3	3399.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No						No	No	Yes
RICTOR	253260.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
WWTR1	25937.0	4.0	Yes	Yes	No	Yes	Yes	No	No	No	Yes								
SAMHD1	25939.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
IDH1	3417.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	8.0	0.0	Yes	No	Yes	No	No	Yes
XPO1	7514.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
IDH2	3418.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	2.5	0.0	Yes	No	Yes	No	No	Yes
XRCC2	7516.0	4.0	Yes	No	Yes	Yes	Yes	Yes	No	No	No								
PPARG	5468.0	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes								
YES1	7525.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
YY1	7528.0	1.0	Yes	Yes	No	No	No	No	No	No	No								
CREB1	1385.0	2.0	Yes	Yes	No	No	No	No	No	No	Yes								
CREBBP	1387.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	2.0	No	Yes	Yes	No	No	Yes
CRKL	1399.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
IFNGR1	3459.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
NCOR1	9611.0	5.0	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	0.0	2.0	No	Yes	Yes	No	No	Yes
NCOR2	9612.0	4.0	Yes	No	No	No	Yes	No	Yes	No	Yes						No	No	Yes
PPP2R1A	5518.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	3.0	0.0	Yes	No	Yes	No	No	Yes
TCL1B	9623.0	1.0	Yes	Yes	No	No	No	No	No	No	No								
IGF1	3479.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
BCL11B	64919.0	4.0	Yes	No	Yes	No	Yes	No	Yes	No	Yes								
IGF1R	3480.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
IGF2	3481.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
CSF1R	1436.0	6.0	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No						No	No	Yes
CSF3R	1441.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
PPP6C	5537.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
IKBKE	9641.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
CCNB3	85417.0	1.0	Yes	Yes	No	No	No	No	No	No	No								
CTR9	9646.0	2.0	Yes	No	Yes	Yes	No	No	No	No	No								
MDC1	9656.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
SETBP1	26040.0	5.0	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	0.5	0.0	No	No	Yes	No	No	Yes
PRKACA	5566.0	2.0	Yes	Yes	No	No	No	No	No	No	Yes						No	No	Yes
PRKAR1A	5573.0	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
PRKCI	5584.0	4.0	Yes	Yes	No	Yes	Yes	Yes	No	No	No								
FEV	54738.0	3.0	Yes	No	No	No	No	No	Yes	No	Yes								
PRKD1	5587.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
CTLA4	1493.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
NUP93	9688.0	4.0	Yes	No	No	Yes	Yes	No	Yes	No	No	0.0	0.5	No	No	Yes			
